Economy,Year,freight,passenger,freight_activity,passenger_activity
03_CDA,2018,1301.641042495315,1375.2543604493721,1024.821764036,818.30155394782
03_CDA,2019,1333.6173222718935,1391.4362660101542,1040.867724266024,827.527632489676
03_CDA,2020,1378.3223780267367,999.1009620471058,1064.247058532708,567.775971593245
03_CDA,2021,1324.2019080553757,1185.001045886413,1033.4209101484448,717.600570817464
03_CDA,2022,1361.5969744052584,1295.78197030666,1094.996439597974,827.31395678421
03_CDA,2023,1370.910470706113,1275.4486547934562,1126.37120445529,839.13559738717
03_CDA,2024,1370.1162224885504,1253.0898589314693,1146.12354656026,848.7515612864
03_CDA,2025,1367.5791423735125,1230.8581032706609,1163.4139224982,858.00653054
03_CDA,2026,1364.5472599919622,1208.881302177976,1179.868854478,867.196356211
03_CDA,2027,1361.5490811820064,1187.2862113103865,1196.368839271,876.5407754839999
03_CDA,2028,1358.372479010809,1166.0154172207228,1212.885152794,886.037498408
03_CDA,2029,1355.061359785037,1145.2258050316455,1229.414048874,895.686137917
03_CDA,2030,1351.8776009510539,1130.1962422493045,1245.898172439,905.488110247
03_CDA,2031,1349.646864140588,1116.694940798484,1262.3235866339999,915.4516950849999
03_CDA,2032,1348.4552371779123,1104.995654960564,1278.6730291029999,925.533484072
03_CDA,2033,1347.9413861066462,1094.569275514738,1294.870270335,935.72253417
03_CDA,2034,1348.5615055142832,1085.80170965159,1310.8497920599998,946.0011583639999
03_CDA,2035,1349.6726794073609,1078.141243322151,1326.545483293,956.355715515
03_CDA,2036,1351.150953598188,1071.4939709349383,1341.914295106,966.781645865
03_CDA,2037,1352.7406016401758,1065.6840291098092,1356.950846226,977.283118972
03_CDA,2038,1354.007216319505,1059.888029719774,1371.674427697,987.866840519
03_CDA,2039,1354.8558308100983,1054.0086508002528,1386.070309513,998.542599448
03_CDA,2040,1355.234840130278,1047.953780125402,1400.170691196,1009.320580986
03_CDA,2041,1355.0576645597198,1041.6543591212944,1413.957320653,1020.2068128880001
03_CDA,2042,1354.2303504265965,1035.0351909320384,1427.403821999,1031.206075049
03_CDA,2043,1352.7051685916988,1028.033795270816,1440.5319212,1042.321690167
03_CDA,2044,1350.4141597614973,1020.6027114681757,1453.3318326459998,1053.55451152
03_CDA,2045,1347.3113935063361,1012.7141834267622,1465.8117058550001,1064.906177969
03_CDA,2046,1343.3635663069676,1004.3694151737171,1477.979783327,1076.384588383
03_CDA,2047,1338.518050092245,995.5910582035264,1489.810310589,1088.0001817309999
03_CDA,2048,1332.7576579873705,986.4237722206957,1501.3034035389999,1099.762802395
03_CDA,2049,1326.0662139907745,976.9321127810309,1512.441720629,1111.682272793
03_CDA,2050,1319.84670413491,969.9574001449142,1523.192424263,1123.77497762
03_CDA,2051,0.0,0.0,1534.987437939,1136.0485441829999
03_CDA,2052,0.0,0.0,1546.763753049,1148.494689053
03_CDA,2053,0.0,0.0,1558.564805363,1161.124468901
03_CDA,2054,0.0,0.0,1570.425780306,1173.950440726
03_CDA,2055,0.0,0.0,1582.390012644,1186.983431724
03_CDA,2056,0.0,0.0,1594.449028592,1200.229600231
03_CDA,2057,0.0,0.0,1606.6534761019998,1213.6943986420001
03_CDA,2058,0.0,0.0,1618.993236193,1227.386886598
