Economy,Year,Residential,GDP per capita
04_CHL,2044,243.35580550899184,36984.980163397246
04_CHL,2045,245.61382329292954,37635.549351335314
04_CHL,2046,247.87203308473678,38302.427761755214
04_CHL,2047,250.12825997248746,38982.83982162511
04_CHL,2048,252.3816248300803,39676.73433952538
04_CHL,2049,254.88362657424145,40383.84116344765
04_CHL,2050,257.1116567980848,41103.90904280944
04_CHL,2051,259.26517759830426,
04_CHL,2052,261.654573829077,
04_CHL,2053,264.02493544080744,
04_CHL,2054,266.621400684025,
04_CHL,2055,269.192200675376,
04_CHL,2056,271.73611102003605,
04_CHL,2057,274.2523624633637,
04_CHL,2058,276.73983036425443,
04_CHL,2059,279.4381230401294,
04_CHL,2060,282.1030476390335,
04_CHL,2061,283.77990369592334,
04_CHL,2062,287.0934721554534,
04_CHL,2063,290.36716620359164,
04_CHL,2064,293.6032359236038,
04_CHL,2065,296.80364093858645,
04_CHL,2066,299.9689769052584,
04_CHL,2067,303.0995065390044,
04_CHL,2068,306.1972552981067,
04_CHL,2069,309.26412719344404,
04_CHL,2070,312.30195233311974,
05_PRC,2017,10268.91359856399,13805.125246241789
05_PRC,2018,10568.349043776805,14643.424291236934
05_PRC,2019,11300.822088833133,15470.183701777349
05_PRC,2020,11501.773536886723,15595.565274876575
05_PRC,2021,12275.9858353096,16972.666402978313
05_PRC,2022,12822.504951616884,17708.827212368768
05_PRC,2023,13400.750295409624,18438.57429283742
05_PRC,2024,13997.288828561388,19166.782975963695
05_PRC,2025,14597.303039249351,19895.489645700185
05_PRC,2026,14858.999227251132,20622.69189014873
05_PRC,2027,15099.442029965978,21347.69826933569
05_PRC,2028,15332.480507270526,22069.869417626836
05_PRC,2029,15544.428596550108,22788.614726744996
05_PRC,2030,15748.386876747796,23503.33819923875
05_PRC,2031,15932.640768314399,24213.37779221577
05_PRC,2032,16102.221989525866,24916.56690466394
05_PRC,2033,16250.199600916816,25611.566349433524
05_PRC,2034,16389.589873613273,26296.696495637592
05_PRC,2035,16507.45349748957,26970.39531572932
05_PRC,2036,16609.518515985055,27631.656455800094
05_PRC,2037,16691.874786031236,28281.94164930609
05_PRC,2038,16760.977442477215,28921.641595250458
05_PRC,2039,16817.519937126006,29551.526824396562
05_PRC,2040,16862.136451878563,30172.769263894224
05_PRC,2041,16892.357644348842,30786.9062420682
05_PRC,2042,16913.363393670916,31394.18048224632
05_PRC,2043,16925.293869504832,31996.970848200937
05_PRC,2044,16929.220889779877,32597.92142270596
05_PRC,2045,16926.24452273302,33199.81549619132
