GDP_category,economy,year,unit,scenario,activity,energy,intensity
Aluminium,01_AUS,2044,thousand tonnes,Reference,1406.1910199208637,235.91074886892665,0.16776579108164338
Aluminium,01_AUS,2045,thousand tonnes,Carbon Neutral,1400.8725713606589,195.25818873470072,0.1393832620657621
Aluminium,01_AUS,2045,thousand tonnes,Reference,1400.8725713606589,233.36959996443997,0.1665887424277067
Aluminium,01_AUS,2046,thousand tonnes,Carbon Neutral,1394.8789464184806,191.48384039294353,0.1372763141092647
Aluminium,01_AUS,2046,thousand tonnes,Reference,1394.8789464184806,230.7404846921894,0.16541971995823962
Aluminium,01_AUS,2047,thousand tonnes,Carbon Neutral,1388.5228126559746,187.71198995077208,0.13518826499632042
Aluminium,01_AUS,2047,thousand tonnes,Reference,1388.5228126559746,228.07689798589269,0.16425866100797137
Aluminium,01_AUS,2048,thousand tonnes,Carbon Neutral,1381.781440035301,183.94091234358115,0.13311867348491951
Aluminium,01_AUS,2048,thousand tonnes,Reference,1381.781440035301,225.37615752971186,0.16310550351867084
Aluminium,01_AUS,2049,thousand tonnes,Carbon Neutral,1374.6182104073455,180.16724799788628,0.1310671185888747
Aluminium,01_AUS,2049,thousand tonnes,Reference,1374.6182104073455,222.6334210810681,0.1619601860323779
Aluminium,01_AUS,2050,thousand tonnes,Carbon Neutral,1366.9993130772875,176.38829417285186,0.1290331988359084
Aluminium,01_AUS,2050,thousand tonnes,Reference,1366.9993130772875,219.84444891229515,0.16082264768472898
Aluminium,02_BD,2017,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2017,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2018,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2018,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2019,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2019,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2020,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2020,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2021,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2021,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2022,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2022,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2023,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2023,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2024,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2024,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2025,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2025,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2026,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2026,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2027,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2027,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2028,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2028,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2029,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2029,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2030,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2030,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2031,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2031,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2032,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2032,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2033,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2033,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2034,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2034,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2035,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2035,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2036,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2036,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2037,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2037,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2038,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2038,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2039,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2039,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2040,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2040,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2041,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2041,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2042,thousand tonnes,Carbon Neutral,0.0,0.0,
Aluminium,02_BD,2042,thousand tonnes,Reference,0.0,0.0,
Aluminium,02_BD,2043,thousand tonnes,Carbon Neutral,0.0,0.0,
